Название,Компания,Регион,Опыт работы,Зарплата от,Зарплата до,Валюта,Требования,Ключевые навыки,Ссылка
Аналитик данных,Совкомбанк Страхование,Санкт-Петербург,От 1 года до 3 лет,,120000.0,RUR,"Знание SQL (умение создавать таблицы и выводить данные). Опыт в ETL процессах. Знание Python (pandas, numpy, SQLite, pyodbc, sqlalchemy). ","Python, SQL, Анализ данных, Работа с базами данных, Data Science, Математический анализ, Аналитика",https://hh.ru/vacancy/116813136
"Маркетолог-аналитик (технические настройки, аналитика, SEO и маркетинговые воронки)",Event-Театр,Санкт-Петербург,От 1 года до 3 лет,60000.0,,RUR,Опыт работы с Яндекс.Метрикой и другими инструментами <highlighttext>аналитики</highlighttext>. * Понимание принципов работы рекламных кабинетов. * Знание основ SEO-продвижения. * Умение работать с...,"Google Analytics, Маркетинговый анализ, Яндекс.Метрика, Автоматизация контекстных кампаний, Интернет-маркетинг, CRM-маркетинг, Яндекс.Директ, Performance-маркетинг, Разработка маркетинговых кампаний, Аудит поисковой видимости сайта, Маркетинговый аудит, Автоматизация маркетинговых кампаний, Веб-аналитика, Нейромаркетинг",https://hh.ru/vacancy/117803988
Менеджер по внедрению / Бизнес-аналитик,Imprice,Санкт-Петербург,От 1 года до 3 лет,80000.0,150000.0,RUR,Опыт работы с любым API. Опыт внедрения сложных ИТ систем. Опыт в ценообразовании. Опыт работы <highlighttext>аналитиком</highlighttext> в торговых компаниях.,"Проектный менеджмент, Стратегическое мышление, Управление проектами, Аналитика, Ориентация на результат, Системное мышление, Оценка потребностей клиентов, Анализ бизнес показателей, Анализ данных, Аналитическое мышление, Agile Project Management, Навыки презентации, Грамотная речь, Работа в команде",https://hh.ru/vacancy/116814368
Аналитик данных Middle/Middle+ (power bi),Бидзаар,Санкт-Петербург,От 1 года до 3 лет,160000.0,,RUR,"Опыт работы с аналогичным функционалом от 1-го года. Уверенное владение MS Power BI, быть готовым продемонстрировать и объяснить созданные...","SQL, Анализ данных, Power BI, Аналитическое мышление",https://hh.ru/vacancy/112413915
Специалист планирования и аналитики,GrowFood,Санкт-Петербург,От 1 года до 3 лет,,90000.0,RUR,"Нам хотелось бы видеть на этой позиции скрупулезного в работе, внимательного к деталям коллегу, в то же время активного, коммуникабельного...",Не указаны,https://hh.ru/vacancy/117551525
"Аналитик 1С (начинающий специалист 1С:УТ , 1С:Бухгалтерия)",АРЕС,Санкт-Петербург,От 1 года до 3 лет,100000.0,100000.0,RUR,...опыт работы <highlighttext>аналитиком</highlighttext> 1С или пройденное обучение по данной специальности и где территориально проживаете. - Минимальный опыт работы <highlighttext>Аналитиком</highlighttext> 1...,Не указаны,https://hh.ru/vacancy/114233408
Стажер-аналитик 1С: Управление холдингом,РУМИКОН,Санкт-Петербург,От 1 года до 3 лет,70000.0,100000.0,RUR,"Получите опыт работы с конфигурацией 1С: Управление холдингом. Идеальный набор навыков и опыта для участия: Высшее образование (экономика, финансы). ","1С: Предприятие 8, 1C: ERP, Основы бухгалтерского учета, Управленческий учет",https://hh.ru/vacancy/117779260
Бизнес-аналитик 1С-Документооборот,Евросиб,Санкт-Петербург,От 1 года до 3 лет,130000.0,,RUR,"Высшее техническое образование (желательно – направление «Прикладная информатика в экономике и управлении»). Дополнительное профессиональное профильное образование, программы повышения квалификации. ",Не указаны,https://hh.ru/vacancy/117735782
Аналитик (контролер),Сириус,Санкт-Петербург,Нет опыта,55000.0,,RUR,"Дисциплинированность,Стрессоустойчивость,честность. - Умение работать в режиме многозадачности. - наличие логического мышления, аналитический склад ума. - Уверенный пользователь ПК. - Высокие аналитические способности.",Не указаны,https://hh.ru/vacancy/114301788
Middle System Analyst,Первый Бит,Санкт-Петербург,От 1 года до 3 лет,220000.0,,RUR,"Опыт работы системным <highlighttext>аналитиком</highlighttext> не менее 2 лет. - Знание методологий системного анализа и проектирования систем. - Опыт работы с UML, BPMN...","BPMN, UML, Системный анализ, Разработка технической документации",https://hh.ru/vacancy/116076605
Бизнес/системный аналитик,ЛИПТ Софт,Санкт-Петербург,От 3 до 6 лет,,400000.0,RUR,Опыт работы фулстэк-<highlighttext>аналитиком</highlighttext> или системным <highlighttext>аналитиком</highlighttext> 3 года и более в составе команды разработки. Уметь разбираться в новых продуктах...,Не указаны,https://hh.ru/vacancy/116172396
Младший бизнес-аналитик,Фертоинг,Санкт-Петербург,От 1 года до 3 лет,70000.0,,RUR,"Высшее образование. Продвинутый пользователь Excel (сложные формулы, сводные таблицы, графики). Знание 1С - будет Вашим преимуществом. Аналитические мышление, системность, умение...","Анализ бизнес-процессов, Оптимизация бизнес-процессов, Описание бизнес-процессов, MS Excel",https://hh.ru/vacancy/117157517
Младший CRM-аналитик,Make Rock,Санкт-Петербург,Нет опыта,30000.0,45000.0,RUR,"Вы отлично владеете компьютером, а также облачными сервисами, например: Google Docs, Zoom, почтовые сервисы. Умеете читать документацию, пробовать, ошибаться и...","Управление проектами, CRM, Обучение и развитие, Проектная документация, amoCRM",https://hh.ru/vacancy/117258856
Контент менеджер - аналитик по карточкам товаров на маркетплейсах,"Торус, Группа компаний",Санкт-Петербург,От 1 года до 3 лет,70000.0,70000.0,RUR,"5. Практический опыт работы с внешними сервисами <highlighttext>аналитики</highlighttext> (МПСТАТ, Маяк и т.д). 6. Продвинутое владение Excel, Google Docs. 7. ","Аналитика маркетплейсов, SEO оптимизация, Анализ воронки продаж, Анализ конкурентной среды, Анализ данных, Контент-маркетинг, Rich-контент, Разработка технических заданий, Составление семантического ядра, Аналитическое мышление",https://hh.ru/vacancy/117140449
"Младший специалист (расчеты, аналитика)",Сервисная Компания ИНТРА,Санкт-Петербург,Нет опыта,57000.0,70000.0,RUR,"Высшее образование. Желателен опыт работы специалистом аналитического, экономического, сметно-договорного, расчетного отдела. Опытный пользователь ПК. Обязательное знание MS Office. ","Деловая переписка, Делопроизводство, Документальное сопровождение, Телефонные переговоры, Внимательность, Исполнительность, Ответственность, Многозадачность",https://hh.ru/vacancy/117771355
Аналитик 1С,Первый Бит,Санкт-Петербург,От 1 года до 3 лет,100000.0,120000.0,RUR,Практический опыт внедрения программных продуктов на 1С. Знание 1С: Управление торговлей и 1С: Управление нашей фирмой. ,1С,https://hh.ru/vacancy/115933860
Системный аналитик,Еврогазпроект,Санкт-Петербург,От 1 года до 3 лет,130000.0,,RUR,"Опыт работы в качестве Системного <highlighttext>аналитика</highlighttext> от 1 года. Опыт сбора и описания требований, умение структурировать информацию. Бизнес-ориентированное системное...",Не указаны,https://hh.ru/vacancy/117196744
Финансовый аналитик,ВендингПро,Санкт-Петербург,От 1 года до 3 лет,80000.0,,RUR,Высшее техническое или экономическое образование. Опыт в оптовой или розничной торговле от 1 года. Уверенный навык анализа больших объемов данных. ,"Анализ текущих финансовых показателей, MS Outlook, 1С: Предприятие 8, Управленческая отчетность, Учет ТМЦ",https://hh.ru/vacancy/117404632
Senior системный аналитик,Selecty,Санкт-Петербург,Более 6 лет,,420000.0,RUR,Опыт проведения тех. интервью / онбординга системных <highlighttext>аналитиков</highlighttext>. Знание и навык использования нотаций моделирования (умение моделировать процессы в нотации BPMN и...,"UML, SOAP, Git, SQL, Бизнес-анализ, BPMN, Atlassian Jira, PlantUML, Системная интеграция, User Story, Постановка задач разработчикам, Системный анализ, Разработка пользовательской документации, JSON, XML, Use case, Xsd, Postman, Анализ требований, API, JSON API, Atlassian Confluence, Camunda, Swagger, Разработка бизнес-требований, REST, Apache Kafka, RabbitMQ, REST API, Микросервисная архитектура",https://hh.ru/vacancy/117652918
Специалист - аналитик,СПб ГБУ ГЦСП КОНТАКТ,Санкт-Петербург,От 3 до 6 лет,55000.0,,RUR,"Правила документооборота. Правила оформления отчетной документации. Владение прикладными офисными программами. Порядок учета движения документов, составления отчетности по утвержденным формам. ",Не указаны,https://hh.ru/vacancy/117101796
